Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
pss_contact_1,dm_group_facilitator_post_session_1,,text,"Time spent on phone calls/emails/text messaging related to the initial session, minutes",,,integer,0,,,,y,,,,,
pss_duration_1,dm_group_facilitator_post_session_1,,text,"Time spent in the initial session, minutes",,,integer,0,,,,y,,,,,
pss_prep_1,dm_group_facilitator_post_session_1,,text,"Time spent preparing for the the initial session, minutes",,,integer,0,,,,y,,,,,
pss_notes_1,dm_group_facilitator_post_session_1,,text,"Time spent doing notes/documenting the the initial session, minutes",,,integer,0,,,,y,,,,,
pss_admin_1,dm_group_facilitator_post_session_1,,text,"Time spent in supervision/managing logistics related to this participant's initial session, minutes",,,integer,0,,,,y,,,,,
pss_intro_2,dm_group_facilitator_post_session_2,,descriptive,"<div class=""rich-text-field-label""><p>Please complete the following questions regarding the first check in for participant <span style=""color: #06b2be;"">[record_id]</span>.</p></div>",,,,,,,,,,,,,
pss_date_2,dm_group_facilitator_post_session_2,,text,"<div class=""rich-text-field-label""><p>What date did the first check in session occur?</p></div>",,,date_mdy,,,,,y,,,,,
pss_staff_2,dm_group_facilitator_post_session_2,,radio,"<div class=""rich-text-field-label""><p>Who delivered this session?</p></div>","1, hold | 2, Someone else {pss_staff_oth_2}",,,,,,,y,,,,,
pss_staff_oth_2,dm_group_facilitator_post_session_2,,text,"Other staff delivered session, specified",,,,,,,,,,,,, @PLACEHOLDER = 'please specify'
pss_table1_2,dm_group_facilitator_post_session_2,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 118px;"" border=""1""> <tbody> <tr style=""height: 43px;""> <td style=""width: 100%; height: 43px;"" colspan=""2"">How many times did you or the participant cancel or no show for prior to the session? (we are trying to find out how common it is to have to schedule multiple times)</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptcancel_2}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client canceled/reschedule this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptabsent_2}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client no-showed for this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_staffcancel_2}</td> <td style=""width: 84.132%; height: 25px;"">Number of times I had to cancel/reschedule this session prior to the session actually taking place</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pss_ptcancel_2,dm_group_facilitator_post_session_2,,text,# of times the client canceled/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_ptabsent_2,dm_group_facilitator_post_session_2,,text,# of times the client no-showed for this session prior to the session actually taking place ,,,integer,0,,,,y,,,,,
pss_staffcancel_2,dm_group_facilitator_post_session_2,,text,# of times I had to cancel/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_schedule_2,dm_group_facilitator_post_session_2,,text,"<div class=""rich-text-field-label""><p>When did you schedule the 2<sup>nd</sup> check in with this participant?</p></div>",,,datetime_mdy,,,,,y,,,,,
pss_content_ci_2,dm_group_facilitator_post_session_2,,checkbox,"<div class=""rich-text-field-label""><p>What did you cover in today's Dime Más session? Check all that apply</p></div>","1, Reviewed participant's goal(s) from prior meeting | 2, Revised participant's goal(s) | 3, Discussed strategies for staying on track with a new behavior (e.g., participant started PrEP, discussed how to stay on PrEP) | 4, Revisited decisional balance worksheet | 5, Revisited referrals for services | 6, Revisited peer stories | 7, Problem solved barriers to achieving goal | 8, Invited the participant to contribute their own story to the Oye Miami website | 9, Something else {pss_content_ci_oth_2}",,,,,,,y,,,,,
pss_content_ci_oth_2,dm_group_facilitator_post_session_2,,text,"Other content covered in check in 1, specified",,,,,,,[pss_content_ci_2(9)],y,,,,, @PLACEHOLDER = 'please describe'
pss_table2_2,dm_group_facilitator_post_session_2,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 100%;"" colspan=""2"">Please document the following information regarding this session with this participant. All items are mutually exclusive. For example, if you did something and you are not sure whether it should count as ""paperwork"" or ""preparation"" for the session, choose one and record it there (do not record in both categories):</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent on paperwork/administrative tasks related to the first check in:</td> <td style=""width: 24.9007%;"">{pss_papers_2} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent on phone calls/emails/text messaging related to the first check in:</td> <td style=""width: 24.9007%;"">{pss_contact_2} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent in the first check in:</td> <td style=""width: 24.9007%;"">{pss_duration_2} (minutes}</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent preparing for the the first check in:</td> <td style=""width: 24.9007%;"">{pss_prep_2} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent doing notes/documenting the the first check in:</td> <td style=""width: 24.9007%;"">{pss_notes_2} (minutes)</td> </tr> <tr> <td style=""width: 75.0993%; text-align: right;"">Time spent in supervision/managing logistics related to this participant's first check in:</td> <td style=""width: 24.9007%;"">{pss_admin_2} (minutes)</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pss_papers_2,dm_group_facilitator_post_session_2,,text,"<div class=""rich-text-field-label""><p>Time spent on paperwork/administrative tasks related to the first check in, minutes</p></div>",,,integer,0,,,,y,,,,,
pss_contact_2,dm_group_facilitator_post_session_2,,text,"Time spent on phone calls/emails/text messaging related to the first check in, minutes",,,integer,0,,,,y,,,,,
pss_duration_2,dm_group_facilitator_post_session_2,,text,"Time spent in the first check in, minutes",,,integer,0,,,,y,,,,,
pss_prep_2,dm_group_facilitator_post_session_2,,text,"Time spent preparing for the the first check in, minutes",,,integer,0,,,,y,,,,,
pss_notes_2,dm_group_facilitator_post_session_2,,text,"Time spent doing notes/documenting the the first check in, minutes",,,integer,0,,,,y,,,,,
pss_admin_2,dm_group_facilitator_post_session_2,,text,"Time spent in supervision/managing logistics related to this participant's first check in, minutes",,,integer,0,,,,y,,,,,
pss_intro_3,dm_group_facilitator_post_session_3,,descriptive,"<div class=""rich-text-field-label""><p>Please complete the following questions regarding the second check in for participant <span style=""color: #06b2be;"">[record_id]</span>.</p></div>",,,,,,,,,,,,,
pss_date_3,dm_group_facilitator_post_session_3,,text,"<div class=""rich-text-field-label""><p>What date did the second check in session occur?</p></div>",,,date_mdy,,,,,y,,,,,
pss_staff_3,dm_group_facilitator_post_session_3,,radio,"<div class=""rich-text-field-label""><p>Who delivered this session?</p></div>","1, hold | 2, Someone else {pss_staff_oth_3}",,,,,,,y,,,,,
pss_staff_oth_3,dm_group_facilitator_post_session_3,,text,"Other staff delivered session, specified",,,,,,,,,,,,, @PLACEHOLDER = 'please specify'
pss_table1_3,dm_group_facilitator_post_session_3,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 118px;"" border=""1""> <tbody> <tr style=""height: 43px;""> <td style=""width: 100%; height: 43px;"" colspan=""2"">How many times did you or the participant cancel or no show for prior to the session? (we are trying to find out how common it is to have to schedule multiple times)</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptcancel_3}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client canceled/reschedule this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptabsent_3}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client no-showed for this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_staffcancel_3}</td> <td style=""width: 84.132%; height: 25px;"">Number of times I had to cancel/reschedule this session prior to the session actually taking place</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pss_ptcancel_3,dm_group_facilitator_post_session_3,,text,# of times the client canceled/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_ptabsent_3,dm_group_facilitator_post_session_3,,text,# of times the client no-showed for this session prior to the session actually taking place ,,,integer,0,,,,y,,,,,
pss_staffcancel_3,dm_group_facilitator_post_session_3,,text,# of times I had to cancel/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_schedule_3,dm_group_facilitator_post_session_3,,text,"<div class=""rich-text-field-label""><p>When did you schedule the 3<sup>rd</sup> check in with this participant?</p></div>",,,datetime_mdy,,,,,y,,,,,
pss_content_ci_3,dm_group_facilitator_post_session_3,,checkbox,"<div class=""rich-text-field-label""><p>What did you cover in today's Dime Más session? Check all that apply</p></div>","1, Reviewed participant's goal(s) from prior meeting | 2, Revised participant's goal(s) | 3, Discussed strategies for staying on track with a new behavior (e.g., participant started PrEP, discussed how to stay on PrEP) | 4, Revisited decisional balance worksheet | 5, Revisited referrals for services | 6, Revisited peer stories | 7, Problem solved barriers to achieving goal | 8, Invited the participant to contribute their own story to the Oye Miami website | 9, Something else {pss_content_ci_oth_3}",,,,,,,y,,,,,
pss_content_ci_oth_3,dm_group_facilitator_post_session_3,,text,"Other content covered in check in 2, specified",,,,,,,[pss_content_ci_3(9)],y,,,,, @PLACEHOLDER = 'please describe'
pss_table2_3,dm_group_facilitator_post_session_3,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 283px;"" border=""1""> <tbody> <tr style=""height: 79px;""> <td style=""width: 100%; height: 79px;"" colspan=""2"">Please document the following information regarding this session with this participant. All items are mutually exclusive. For example, if you did something and you are not sure whether it should count as ""paperwork"" or ""preparation"" for the session, choose one and record it there (do not record in both categories):</td> </tr> <tr style=""height: 25px;""> <td style=""width: 75.0993%; text-align: right; height: 25px;"">Time spent on paperwork/administrative tasks related to the second check in:</td> <td style=""width: 24.9007%; height: 25px;"">{pss_papers_3} (minutes)</td> </tr> <tr style=""height: 43px;""> <td style=""width: 75.0993%; text-align: right; height: 43px;"">Time spent on phone calls/emails/text messaging related to the second check in:</td> <td style=""width: 24.9007%; height: 43px;"">{pss_contact_3} (minutes)</td> </tr> <tr style=""height: 43px;""> <td style=""width: 75.0993%; text-align: right; height: 43px;"">Time spent in the second check in:</td> <td style=""width: 24.9007%; height: 43px;"">{pss_duration_3} (minutes}</td> </tr> <tr style=""height: 25px;""> <td style=""width: 75.0993%; text-align: right; height: 25px;"">Time spent preparing for the the second check in:</td> <td style=""width: 24.9007%; height: 25px;"">{pss_prep_3} (minutes)</td> </tr> <tr style=""height: 25px;""> <td style=""width: 75.0993%; text-align: right; height: 25px;"">Time spent doing notes/documenting the the second check in:</td> <td style=""width: 24.9007%; height: 25px;"">{pss_notes_3} (minutes)</td> </tr> <tr style=""height: 43px;""> <td style=""width: 75.0993%; text-align: right; height: 43px;"">Time spent in supervision/managing logistics related to this participant's second check in:</td> <td style=""width: 24.9007%; height: 43px;"">{pss_admin_3} (minutes)</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pss_papers_3,dm_group_facilitator_post_session_3,,text,"<div class=""rich-text-field-label""><p>Time spent on paperwork/administrative tasks related to the second check in, minutes</p></div>",,,integer,0,,,,y,,,,,
pss_contact_3,dm_group_facilitator_post_session_3,,text,"Time spent on phone calls/emails/text messaging related to the second check in, minutes",,,integer,0,,,,y,,,,,
pss_duration_3,dm_group_facilitator_post_session_3,,text,"Time spent in the second check in, minutes",,,integer,0,,,,y,,,,,
pss_prep_3,dm_group_facilitator_post_session_3,,text,"Time spent preparing for the the second check in, minutes",,,integer,0,,,,y,,,,,
pss_notes_3,dm_group_facilitator_post_session_3,,text,"Time spent doing notes/documenting the the second check in, minutes",,,integer,0,,,,y,,,,,
pss_admin_3,dm_group_facilitator_post_session_3,,text,"Time spent in supervision/managing logistics related to this participant's second check in, minutes",,,integer,0,,,,y,,,,,
pss_intro_4,dm_group_facilitator_post_session_4,,descriptive,"<div class=""rich-text-field-label""><p>Please complete the following questions regarding the third check in for participant <span style=""color: #06b2be;"">[record_id]</span>.</p></div>",,,,,,,,,,,,,
pss_date_4,dm_group_facilitator_post_session_4,,text,"<div class=""rich-text-field-label""><p>What date did the third check in session occur?</p></div>",,,date_mdy,,,,,y,,,,,
pss_staff_4,dm_group_facilitator_post_session_4,,radio,"<div class=""rich-text-field-label""><p>Who delivered this session?</p></div>","1, hold | 2, Someone else {pss_staff_oth_4}",,,,,,,y,,,,,
pss_staff_oth_4,dm_group_facilitator_post_session_4,,text,"Other staff delivered session, specified",,,,,,,,,,,,, @PLACEHOLDER = 'please specify'
pss_table1_4,dm_group_facilitator_post_session_4,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 118px;"" border=""1""> <tbody> <tr style=""height: 43px;""> <td style=""width: 100%; height: 43px;"" colspan=""2"">How many times did you or the participant cancel or no show for prior to the session? (we are trying to find out how common it is to have to schedule multiple times)</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptcancel_4}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client canceled/reschedule this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_ptabsent_4}</td> <td style=""width: 84.132%; height: 25px;"">Number of times the client no-showed for this session prior to the session actually taking place</td> </tr> <tr style=""height: 25px;""> <td style=""width: 15.868%; height: 25px;"">{pss_staffcancel_4}</td> <td style=""width: 84.132%; height: 25px;"">Number of times I had to cancel/reschedule this session prior to the session actually taking place</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
pss_ptcancel_4,dm_group_facilitator_post_session_4,,text,# of times the client canceled/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_ptabsent_4,dm_group_facilitator_post_session_4,,text,# of times the client no-showed for this session prior to the session actually taking place ,,,integer,0,,,,y,,,,,
pss_staffcancel_4,dm_group_facilitator_post_session_4,,text,# of times I had to cancel/reschedule this session prior to the session actually taking place,,,integer,0,,,,y,,,,,
pss_content_ci_4,dm_group_facilitator_post_session_4,,checkbox,"<div class=""rich-text-field-label""><p>What did you cover in today's Dime Más session? Check all that apply</p></div>","1, Reviewed participant's goal(s) from prior meeting | 2, Revised participant's goal(s) | 3, Discussed strategies for staying on track with a new behavior (e.g., participant started PrEP, discussed how to stay on PrEP) | 4, Revisited decisional balance worksheet | 5, Revisited referrals for services | 6, Revisited peer stories | 7, Problem solved barriers to achieving goal | 8, Invited the participant to contribute their own story to the Oye Miami website | 9, Something else {pss_content_ci_oth_4}",,,,,,,y,,,,,
pss_content_ci_oth_4,dm_group_facilitator_post_session_4,,text,"Other content covered in check in 3, specified",,,,,,,[pss_content_ci_4(9)],y,,,,, @PLACEHOLDER = 'please describe'
pss_table2_4,dm_group_facilitator_post_session_4,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 283px;"" border=""1""> <tbody> <tr style=""height: 79px;""> <td style=""width: 100%; height: 79px;"" colspan=""2"">Please document the following information regarding this session with this participant. All items are mutually exclusive. For example, if you did something and you are not sure whether it should count as ""paperwork"" or ""preparation"" for the session, choose one and record it there (do not record in both categories):</td> </tr> <tr style=""height: 25px;""> <td style=""width: 75.0993%; text-align: right; height: 25px;"">Time spent on paperwork/administrative tasks related to the third check in:</td> <td style=""width: 24.9007%; height: 25px;"">{pss_papers_4} (minutes)</td> </tr> <tr style=""height: 43px;""> <td style=""width: 75.0993%; text-align: right; height: 43px;"">Time spent on phone calls/emails/text messaging related to the third check in:</td> <td style=""width: 24.9007%; height: 43px;"">{pss_contact_4} (minutes)</td> </tr> <tr style=""height: 43px;""> <td style=""width: 75.0993%; text-align: right; height: 43px;"">Time spent in the third check in:</td> <td style=""width: 24.9007%; height: 43px;"">{pss_duration_4} (minutes}</td> </tr> <tr style=""height: 25px;""> <td style=""width: 75.0993%; text-align: right; height: 25px;"">Time spent preparing for the the third check in:</td> <td style=""width: 24.9007%; height: 25px;"">{pss_prep_4} (minutes)</td> </tr> <tr style=""height: 25px;""> <td style=""width: 75.0993%; text-align: right; height: 25px;"">Time spent doing notes/documenting the the third check in:</td> <td style=""width: 24.9007%; height: 25px;"">{pss_notes_4} (minutes)</td> </tr> <tr style=""height: 43px;""> <td style=""width: 75.0993%; text-align: right; height: 43px;"">Time spent in supervision/managing logistics related to this participant's third check in:</td> <td style=""width: 24.9007%; height: 43px;"">{pss_admin_4} (minutes)</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
